player,pos,fp_id,ecr_2qb,value_2qb
Justin Jefferson,WR,19236,5.8,9162
Ja'Marr Chase,WR,19788,7.4,8824
CeeDee Lamb,WR,19202,7.4,8824
Amon-Ra St. Brown,WR,19799,11.5,8013
Bijan Robinson,RB,23133,13.2,7700
Breece Hall,RB,22982,15.1,7363
Jahmyr Gibbs,RB,22968,19.1,6703
Garrett Wilson,WR,23072,20.2,6532
Christian McCaffrey,RB,16393,21.1,6395
A.J. Brown,WR,18218,20.4,6501
Puka Nacua,WR,23180,20.7,6455
Marvin Harrison Jr.,WR,23064,21.1,6395
Jonathan Taylor,RB,19217,28.2,5412
Sam LaPorta,TE,22978,27.6,5489
Tyreek Hill,WR,15802,29.3,5274
2024 Pick 1.01,PICK,NA,9.5325,8393
Chris Olave,WR,20111,29.7,5225
Malik Nabers,WR,25409,32.6,4881
2024 Pick 1.02,PICK,NA,12.7975,7773
Jaylen Waddle,WR,19790,33.7,4756
Josh Allen,QB,17298,1.8,10065
Brandon Aiyuk,WR,19252,32.9,4846
Kyren Williams,RB,23059,37.4,4360
Drake London,WR,23163,35,4613
Travis Etienne Jr.,RB,19231,36.5,4453
Patrick Mahomes II,QB,16413,1.7,10089
DeVonta Smith,WR,19222,38.5,4249
De'Von Achane,RB,23136,37.9,4309
2024 Pick 1.03,PICK,NA,17.2525,7000
Michael Pittman Jr.,WR,19278,41.6,3950
Trey McBride,TE,22936,40.9,4016
Kenneth Walker III,RB,23021,43.2,3804
DJ Moore,WR,17265,45.5,3604
Saquon Barkley,RB,17240,38,4299
C.J. Stroud,QB,23071,5.3,9270
2025 Early 1st,PICK,NA,25.9985952686898,5700
Rachaad White,RB,23891,47.2,3463
2024 Pick 1.04,PICK,NA,26.43,5642
Jalen Hurts,QB,19275,6.5,9013
Lamar Jackson,QB,17233,6.6,8991
DK Metcalf,WR,18219,45.1,3638
Rashee Rice,WR,23113,50.5,3205
James Cook,RB,22958,49.5,3281
Nico Collins,WR,20130,50.9,3175
Tee Higgins,WR,19211,50.6,3197
Josh Jacobs,RB,18269,50.9,3175
Zay Flowers,WR,22916,52.1,3086
Isiah Pacheco,RB,24333,53.9,2959
Jordan Addison,WR,23107,56.9,2757
Tank Dell,WR,25361,54.1,2945
Mark Andrews,TE,17269,57,2751
2024 Pick 1.05,PICK,NA,35.4575,4564
Joe Burrow,QB,19196,9.1,8478
Brock Bowers,TE,22955,62.2,2434
Jaxon Smith-Njigba,WR,23070,63.4,2367
Dalton Kincaid,TE,25247,66.4,2206
Anthony Richardson,QB,24347,15,7381
Kyle Pitts,TE,20164,69,2075
D'Andre Swift,RB,19210,63.7,2350
Stefon Diggs,WR,13981,65.4,2258
2024 Pick 1.06,PICK,NA,44.3325,3705
Javonte Williams,RB,22739,67,2175
Davante Adams,WR,12123,68.1,2119
Deebo Samuel Sr.,WR,18244,68.3,2109
Rhamondre Stevenson,RB,22726,69,2075
Tony Pollard,RB,18705,72.3,1920
Justin Herbert,QB,18635,16.3,7159
Jayden Reed,WR,23020,74,1845
George Pickens,WR,22963,73.9,1849
